  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0014                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     6.271 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -3.000  -0.3405   0.00572   0.00115   0.0005   0.6085   0.1956
  -2.900  -0.3291   0.00569   0.00113   0.0005   0.6028   0.1997
  -2.800  -0.3177   0.00569   0.00111   0.0005   0.5949   0.2045
  -2.700  -0.3066   0.00565   0.00108   0.0005   0.5860   0.2129
  -2.600  -0.2953   0.00561   0.00106   0.0005   0.5805   0.2187
  -2.500  -0.2839   0.00561   0.00105   0.0004   0.5725   0.2231
  -2.400  -0.2728   0.00557   0.00102   0.0005   0.5639   0.2326
  -2.300  -0.2614   0.00554   0.00100   0.0004   0.5586   0.2378
  -2.200  -0.2500   0.00554   0.00099   0.0004   0.5500   0.2419
  -2.100  -0.2388   0.00551   0.00097   0.0004   0.5418   0.2514
  -2.000  -0.2274   0.00548   0.00095   0.0004   0.5368   0.2581
  -1.900  -0.2160   0.00548   0.00094   0.0004   0.5287   0.2616
  -1.800  -0.2047   0.00547   0.00092   0.0004   0.5197   0.2702
  -1.700  -0.1935   0.00542   0.00090   0.0004   0.5151   0.2788
  -1.600  -0.1820   0.00543   0.00089   0.0003   0.5072   0.2822
  -1.500  -0.1707   0.00541   0.00088   0.0003   0.4983   0.2910
  -1.400  -0.1594   0.00538   0.00086   0.0003   0.4936   0.2988
  -1.300  -0.1479   0.00538   0.00086   0.0003   0.4867   0.3031
  -1.200  -0.1366   0.00537   0.00085   0.0003   0.4770   0.3115
  -1.100  -0.1252   0.00534   0.00083   0.0002   0.4725   0.3189
  -1.000  -0.1138   0.00534   0.00083   0.0002   0.4652   0.3240
  -0.900  -0.1025   0.00534   0.00082   0.0002   0.4564   0.3326
  -0.800  -0.0912   0.00531   0.00081   0.0002   0.4510   0.3404
  -0.700  -0.0797   0.00532   0.00081   0.0002   0.4440   0.3449
  -0.600  -0.0684   0.00532   0.00081   0.0001   0.4344   0.3526
  -0.500  -0.0570   0.00529   0.00080   0.0001   0.4298   0.3611
