  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -3.000  -0.4457   0.01104   0.00488   0.0179   1.0000   0.5522
  -2.750  -0.4230   0.01092   0.00492   0.0187   1.0000   0.5861
  -2.500  -0.3936   0.01082   0.00496   0.0182   0.9978   0.6222
  -2.250  -0.3502   0.01073   0.00503   0.0150   0.9910   0.6620
  -2.000  -0.3096   0.01064   0.00506   0.0125   0.9835   0.6990
  -1.750  -0.2695   0.01053   0.00509   0.0102   0.9743   0.7331
  -1.500  -0.2251   0.01047   0.00515   0.0072   0.9678   0.7659
  -1.250  -0.1891   0.01040   0.00518   0.0060   0.9576   0.7954
  -1.000  -0.1490   0.01033   0.00519   0.0041   0.9483   0.8227
  -0.750  -0.1053   0.01028   0.00520   0.0016   0.9411   0.8472
  -0.500  -0.0721   0.01028   0.00526   0.0014   0.9285   0.8672
  -0.250  -0.0353   0.01023   0.00523   0.0005   0.9162   0.8860
  -0.000   0.0000   0.01024   0.00525  -0.0000   0.9027   0.9027
   0.250   0.0353   0.01023   0.00523  -0.0005   0.8860   0.9162
   0.500   0.0721   0.01028   0.00526  -0.0014   0.8672   0.9285
   0.750   0.1053   0.01028   0.00520  -0.0016   0.8472   0.9411
   1.000   0.1489   0.01033   0.00519  -0.0041   0.8227   0.9483
   1.250   0.1891   0.01040   0.00518  -0.0060   0.7954   0.9577
   1.500   0.2251   0.01047   0.00515  -0.0072   0.7659   0.9678
   1.750   0.2695   0.01053   0.00509  -0.0102   0.7332   0.9744
   2.000   0.3096   0.01064   0.00506  -0.0125   0.6991   0.9836
   2.250   0.3502   0.01073   0.00502  -0.0150   0.6619   0.9910
   2.500   0.3936   0.01081   0.00496  -0.0182   0.6221   0.9979
   2.750   0.4228   0.01092   0.00492  -0.0187   0.5862   1.0000
   3.000   0.4455   0.01103   0.00488  -0.0179   0.5523   1.0000
   3.250   0.4682   0.01118   0.00488  -0.0171   0.5185   1.0000
   3.500   0.4909   0.01132   0.00491  -0.0162   0.4842   1.0000
   3.750   0.5134   0.01151   0.00497  -0.0154   0.4494   1.0000
   4.000   0.5355   0.01173   0.00506  -0.0144   0.4145   1.0000
   4.250   0.5570   0.01201   0.00521  -0.0134   0.3789   1.0000
   4.500   0.5780   0.01233   0.00536  -0.0122   0.3438   1.0000
   4.750   0.5990   0.01266   0.00556  -0.0111   0.3084   1.0000
   5.000   0.6197   0.01303   0.00579  -0.0099   0.2723   1.0000
   5.250   0.6398   0.01347   0.00607  -0.0086   0.2377   1.0000
   5.500   0.6594   0.01398   0.00641  -0.0073   0.2052   1.0000
   5.750   0.6786   0.01454   0.00683  -0.0059   0.1761   1.0000
   6.000   0.6981   0.01509   0.00728  -0.0044   0.1526   1.0000
   6.250   0.7173   0.01570   0.00784  -0.0029   0.1343   1.0000
   6.500   0.7345   0.01657   0.00855  -0.0012   0.1178   1.0000
   6.750   0.7555   0.01698   0.00902   0.0001   0.1073   1.0000
   7.000   0.7715   0.01809   0.01001   0.0020   0.0954   1.0000
   7.250   0.7923   0.01860   0.01063   0.0034   0.0899   1.0000
   7.500   0.8123   0.01921   0.01127   0.0048   0.0835   1.0000
   7.750   0.8300   0.02018   0.01219   0.0063   0.0770   1.0000
   8.000   0.8487   0.02137   0.01343   0.0078   0.0720   1.0000
   8.250   0.8694   0.02205   0.01421   0.0090   0.0682   1.0000
   8.500   0.8895   0.02287   0.01510   0.0103   0.0646   1.0000
   8.750   0.9090   0.02379   0.01603   0.0115   0.0614   1.0000
   9.000   0.9267   0.02559   0.01789   0.0128   0.0580   1.0000
   9.250   0.9442   0.02758   0.02008   0.0141   0.0556   1.0000
   9.500   0.9636   0.02835   0.02100   0.0153   0.0534   1.0000
   9.750   0.9820   0.02937   0.02215   0.0166   0.0510   1.0000
  10.000   0.9991   0.03068   0.02360   0.0179   0.0492   1.0000
  10.250   1.0154   0.03202   0.02506   0.0192   0.0475   1.0000
  10.500   1.0307   0.03345   0.02658   0.0205   0.0461   1.0000
  10.750   1.0438   0.03540   0.02863   0.0219   0.0448   1.0000
  11.000   1.0495   0.03879   0.03229   0.0237   0.0436   1.0000
  11.250   1.0426   0.04369   0.03760   0.0262   0.0428   1.0000
  11.500   1.0401   0.04636   0.04055   0.0286   0.0425   1.0000
  11.750   1.0348   0.04854   0.04296   0.0314   0.0422   1.0000
  12.000   1.0242   0.05103   0.04567   0.0340   0.0418   1.0000
  12.250   1.0099   0.05412   0.04899   0.0355   0.0416   1.0000
  12.500   0.9916   0.05804   0.05314   0.0358   0.0414   1.0000
  12.750   0.9686   0.06312   0.05845   0.0343   0.0414   1.0000
  13.000   0.9393   0.06998   0.06552   0.0307   0.0416   1.0000
  13.250   0.8993   0.07981   0.07557   0.0245   0.0422   1.0000
  13.500   0.8595   0.09131   0.08721   0.0170   0.0429   1.0000
  13.750   0.6829   0.15228   0.14835  -0.0125   0.0738   1.0000
  14.000   0.6820   0.15722   0.15329  -0.0154   0.0735   1.0000
  14.250   0.6736   0.16143   0.15747  -0.0218   0.0703   1.0000
  14.500   0.6720   0.16566   0.16169  -0.0250   0.0659   1.0000
  14.750   0.6775   0.16900   0.16503  -0.0263   0.0630   1.0000
  15.000   0.6845   0.17227   0.16830  -0.0273   0.0613   1.0000
