  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0006                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     6.271 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -3.000  -0.3256   0.00497   0.00095  -0.0010   0.9400   0.0204
  -2.900  -0.3153   0.00495   0.00091  -0.0008   0.9287   0.0215
  -2.800  -0.3046   0.00494   0.00088  -0.0007   0.9185   0.0244
  -2.700  -0.2941   0.00492   0.00084  -0.0006   0.9067   0.0288
  -2.600  -0.2835   0.00490   0.00080  -0.0004   0.8931   0.0328
  -2.500  -0.2727   0.00488   0.00077  -0.0003   0.8814   0.0351
  -2.400  -0.2619   0.00487   0.00074  -0.0003   0.8671   0.0433
  -2.300  -0.2512   0.00483   0.00070  -0.0002   0.8537   0.0532
  -2.200  -0.2404   0.00480   0.00066  -0.0001   0.8379   0.0635
  -2.100  -0.2295   0.00479   0.00063  -0.0001   0.8230   0.0703
  -2.000  -0.2186   0.00478   0.00060  -0.0000   0.8073   0.0789
  -1.800  -0.1968   0.00474   0.00054   0.0000   0.7754   0.0986
  -1.700  -0.1858   0.00471   0.00052   0.0001   0.7599   0.1123
  -1.500  -0.1642   0.00460   0.00046   0.0001   0.7263   0.1583
  -1.400  -0.1534   0.00454   0.00043   0.0001   0.7085   0.1860
  -1.300  -0.1424   0.00451   0.00041   0.0001   0.6913   0.2047
  -1.200  -0.1315   0.00450   0.00039   0.0001   0.6742   0.2179
  -1.100  -0.1205   0.00450   0.00037   0.0001   0.6568   0.2312
  -1.000  -0.1095   0.00449   0.00036   0.0001   0.6378   0.2461
  -0.900  -0.0985   0.00449   0.00035   0.0001   0.6201   0.2596
  -0.800  -0.0875   0.00449   0.00034   0.0001   0.6029   0.2723
  -0.700  -0.0765   0.00446   0.00032   0.0001   0.5863   0.2920
  -0.600  -0.0658   0.00438   0.00030   0.0001   0.5675   0.3310
  -0.500  -0.0548   0.00437   0.00030   0.0001   0.5483   0.3503
  -0.400  -0.0439   0.00435   0.00029   0.0001   0.5312   0.3738
  -0.300  -0.0329   0.00435   0.00029   0.0001   0.5106   0.3906
  -0.200  -0.0220   0.00435   0.00028   0.0000   0.4895   0.4095
  -0.100  -0.0110   0.00433   0.00028   0.0000   0.4731   0.4326
  -0.000  -0.0001   0.00434   0.00028   0.0000   0.4528   0.4518
   0.100   0.0109   0.00433   0.00028   0.0000   0.4331   0.4722
   0.200   0.0218   0.00434   0.00028  -0.0000   0.4118   0.4905
   0.300   0.0328   0.00434   0.00028  -0.0000   0.3932   0.5100
   0.400   0.0437   0.00436   0.00029  -0.0000   0.3716   0.5302
   0.500   0.0546   0.00439   0.00030  -0.0000   0.3469   0.5470
   0.600   0.0656   0.00439   0.00030  -0.0000   0.3310   0.5668
   0.700   0.0763   0.00445   0.00032  -0.0001   0.2941   0.5864
   0.800   0.0873   0.00448   0.00034  -0.0001   0.2740   0.6025
   0.900   0.0983   0.00448   0.00035  -0.0001   0.2607   0.6221
   1.000   0.1093   0.00449   0.00036  -0.0001   0.2464   0.6381
   1.100   0.1203   0.00449   0.00037  -0.0001   0.2318   0.6568
   1.200   0.1313   0.00450   0.00039  -0.0001   0.2173   0.6750
   1.300   0.1423   0.00451   0.00041  -0.0001   0.2052   0.6918
   1.400   0.1532   0.00454   0.00043  -0.0001   0.1868   0.7085
   1.500   0.1639   0.00462   0.00046  -0.0001   0.1548   0.7257
