  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 23015                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =    12.543 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -3.000  -0.2080   0.00661   0.00137  -0.0097   0.3499   0.0352
  -2.900  -0.1964   0.00660   0.00135  -0.0097   0.3452   0.0359
  -2.800  -0.1851   0.00661   0.00134  -0.0097   0.3370   0.0373
  -2.700  -0.1736   0.00660   0.00132  -0.0097   0.3290   0.0387
  -2.600  -0.1621   0.00659   0.00131  -0.0098   0.3250   0.0398
  -2.500  -0.1507   0.00660   0.00130  -0.0098   0.3182   0.0405
  -2.400  -0.1392   0.00660   0.00129  -0.0098   0.3099   0.0410
  -2.300  -0.1275   0.00659   0.00127  -0.0098   0.3066   0.0416
  -2.200  -0.1159   0.00658   0.00126  -0.0099   0.3037   0.0438
  -2.100  -0.1045   0.00658   0.00125  -0.0099   0.2987   0.0455
  -2.000  -0.0931   0.00658   0.00124  -0.0099   0.2921   0.0469
  -1.900  -0.0815   0.00657   0.00123  -0.0099   0.2863   0.0478
  -1.800  -0.0698   0.00656   0.00122  -0.0100   0.2846   0.0492
  -1.700  -0.0582   0.00655   0.00121  -0.0100   0.2815   0.0517
  -1.600  -0.0468   0.00655   0.00120  -0.0101   0.2767   0.0538
  -1.500  -0.0353   0.00656   0.00120  -0.0101   0.2702   0.0552
  -1.400  -0.0237   0.00656   0.00119  -0.0101   0.2651   0.0560
  -1.300  -0.0121   0.00655   0.00118  -0.0102   0.2632   0.0590
  -1.200  -0.0006   0.00654   0.00117  -0.0102   0.2598   0.0621
  -1.100   0.0108   0.00655   0.00117  -0.0102   0.2548   0.0643
  -1.000   0.0223   0.00656   0.00117  -0.0103   0.2476   0.0668
  -0.900   0.0339   0.00654   0.00116  -0.0103   0.2441   0.0719
  -0.800   0.0455   0.00652   0.00115  -0.0103   0.2427   0.0752
  -0.700   0.0571   0.00652   0.00115  -0.0104   0.2402   0.0785
  -0.600   0.0685   0.00651   0.00115  -0.0104   0.2374   0.0846
  -0.500   0.0800   0.00650   0.00114  -0.0104   0.2343   0.0884
  -0.400   0.0915   0.00650   0.00114  -0.0105   0.2307   0.0958
  -0.300   0.1029   0.00647   0.00114  -0.0105   0.2270   0.1041
  -0.200   0.1144   0.00643   0.00113  -0.0105   0.2243   0.1160
  -0.100   0.1256   0.00637   0.00111  -0.0105   0.2237   0.1359
  -0.000   0.1367   0.00629   0.00110  -0.0105   0.2230   0.1605
   0.100   0.1460   0.00600   0.00104  -0.0102   0.2219   0.2488
   0.200   0.1571   0.00594   0.00103  -0.0102   0.2200   0.2717
   0.300   0.1682   0.00590   0.00102  -0.0101   0.2174   0.2908
   0.400   0.1790   0.00581   0.00101  -0.0101   0.2154   0.3202
   0.500   0.1904   0.00579   0.00101  -0.0101   0.2120   0.3335
   0.600   0.2016   0.00576   0.00101  -0.0101   0.2088   0.3477
   0.700   0.2131   0.00573   0.00101  -0.0101   0.2062   0.3611
   0.800   0.2246   0.00571   0.00101  -0.0102   0.2047   0.3708
   0.900   0.2360   0.00567   0.00101  -0.0102   0.2044   0.3867
   1.000   0.2477   0.00565   0.00102  -0.0103   0.2041   0.3934
   1.100   0.2592   0.00562   0.00101  -0.0103   0.2036   0.4075
