  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 4412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =    12.543 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -3.000   0.1373   0.00541   0.00087  -0.1036   0.5047   0.0437
  -2.900   0.1489   0.00540   0.00086  -0.1036   0.5020   0.0441
  -2.800   0.1605   0.00540   0.00085  -0.1037   0.4984   0.0464
  -2.700   0.1719   0.00539   0.00084  -0.1037   0.4941   0.0495
  -2.600   0.1834   0.00538   0.00083  -0.1038   0.4883   0.0513
  -2.500   0.1951   0.00536   0.00081  -0.1039   0.4858   0.0528
  -2.400   0.2068   0.00535   0.00080  -0.1040   0.4842   0.0533
  -2.300   0.2184   0.00535   0.00079  -0.1040   0.4816   0.0562
  -2.200   0.2299   0.00534   0.00079  -0.1041   0.4784   0.0590
  -2.100   0.2414   0.00533   0.00078  -0.1041   0.4743   0.0618
  -2.000   0.2529   0.00533   0.00077  -0.1042   0.4695   0.0634
  -1.900   0.2646   0.00532   0.00076  -0.1043   0.4662   0.0643
  -1.800   0.2763   0.00530   0.00075  -0.1043   0.4652   0.0689
  -1.700   0.2879   0.00528   0.00075  -0.1044   0.4636   0.0726
  -1.600   0.2995   0.00527   0.00074  -0.1045   0.4614   0.0754
  -1.500   0.3111   0.00527   0.00073  -0.1046   0.4587   0.0769
  -1.400   0.3226   0.00528   0.00073  -0.1046   0.4552   0.0782
  -1.300   0.3341   0.00527   0.00073  -0.1047   0.4517   0.0841
  -1.200   0.3457   0.00526   0.00073  -0.1047   0.4478   0.0877
  -1.100   0.3574   0.00524   0.00072  -0.1048   0.4461   0.0915
  -1.000   0.3691   0.00523   0.00071  -0.1049   0.4452   0.0924
  -0.900   0.3807   0.00523   0.00071  -0.1050   0.4439   0.0972
  -0.800   0.3923   0.00521   0.00071  -0.1051   0.4419   0.1023
  -0.700   0.4039   0.00520   0.00071  -0.1051   0.4396   0.1063
  -0.600   0.4154   0.00521   0.00071  -0.1052   0.4369   0.1090
  -0.500   0.4269   0.00521   0.00071  -0.1052   0.4340   0.1141
  -0.400   0.4385   0.00520   0.00071  -0.1053   0.4307   0.1202
  -0.300   0.4501   0.00519   0.00072  -0.1054   0.4271   0.1245
  -0.200   0.4618   0.00519   0.00071  -0.1055   0.4263   0.1267
  -0.100   0.4734   0.00517   0.00071  -0.1056   0.4256   0.1341
  -0.000   0.4851   0.00515   0.00071  -0.1057   0.4246   0.1409
   0.100   0.4967   0.00515   0.00072  -0.1057   0.4233   0.1446
   0.200   0.5083   0.00516   0.00072  -0.1058   0.4210   0.1462
   0.300   0.5198   0.00516   0.00073  -0.1059   0.4184   0.1553
   0.400   0.5313   0.00515   0.00073  -0.1059   0.4156   0.1616
   0.500   0.5428   0.00516   0.00074  -0.1060   0.4122   0.1655
   0.600   0.5543   0.00517   0.00075  -0.1061   0.4085   0.1705
   0.700   0.5659   0.00516   0.00075  -0.1061   0.4067   0.1777
   0.800   0.5776   0.00514   0.00076  -0.1062   0.4061   0.1848
   0.900   0.5892   0.00514   0.00076  -0.1063   0.4052   0.1910
   1.000   0.6008   0.00513   0.00077  -0.1064   0.4037   0.1987
   1.100   0.6123   0.00513   0.00078  -0.1065   0.4013   0.2042
   1.200   0.6237   0.00516   0.00079  -0.1065   0.3975   0.2065
   1.300   0.6350   0.00517   0.00081  -0.1065   0.3925   0.2171
   1.400   0.6464   0.00518   0.00082  -0.1066   0.3876   0.2251
   1.500   0.6581   0.00518   0.00083  -0.1067   0.3864   0.2318
