  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0024                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =    12.543 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -3.000  -0.3423   0.00643   0.00177   0.0005   0.4132   0.2333
  -2.900  -0.3308   0.00641   0.00175   0.0005   0.4118   0.2373
  -2.800  -0.3198   0.00638   0.00173   0.0005   0.4092   0.2415
  -2.700  -0.3089   0.00635   0.00171   0.0006   0.4054   0.2448
  -2.600  -0.2979   0.00635   0.00170   0.0007   0.4009   0.2474
  -2.500  -0.2865   0.00635   0.00169   0.0006   0.3958   0.2490
  -2.400  -0.2749   0.00634   0.00169   0.0006   0.3905   0.2500
  -2.300  -0.2630   0.00634   0.00167   0.0005   0.3882   0.2506
  -2.200  -0.2514   0.00632   0.00166   0.0004   0.3871   0.2547
  -2.100  -0.2400   0.00629   0.00165   0.0004   0.3855   0.2593
  -2.000  -0.2289   0.00627   0.00163   0.0005   0.3825   0.2632
  -1.900  -0.2179   0.00626   0.00162   0.0005   0.3789   0.2662
  -1.800  -0.2067   0.00626   0.00161   0.0005   0.3744   0.2686
  -1.700  -0.1952   0.00626   0.00161   0.0005   0.3697   0.2700
  -1.600  -0.1835   0.00626   0.00161   0.0004   0.3647   0.2710
  -1.500  -0.1716   0.00625   0.00160   0.0003   0.3630   0.2728
  -1.400  -0.1600   0.00624   0.00159   0.0003   0.3620   0.2774
  -1.300  -0.1485   0.00622   0.00158   0.0002   0.3603   0.2813
  -1.200  -0.1375   0.00620   0.00157   0.0003   0.3574   0.2854
  -1.100  -0.1264   0.00619   0.00156   0.0003   0.3535   0.2885
  -1.000  -0.1152   0.00620   0.00156   0.0004   0.3491   0.2910
  -0.900  -0.1036   0.00621   0.00156   0.0003   0.3444   0.2921
  -0.800  -0.0918   0.00621   0.00156   0.0002   0.3396   0.2929
  -0.700  -0.0800   0.00620   0.00155   0.0001   0.3386   0.2960
  -0.600  -0.0683   0.00619   0.00155   0.0001   0.3376   0.3005
  -0.500  -0.0570   0.00617   0.00154   0.0001   0.3356   0.3050
  -0.400  -0.0459   0.00616   0.00153   0.0001   0.3326   0.3086
  -0.300  -0.0347   0.00617   0.00153   0.0001   0.3288   0.3116
