  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  10.020   1.0000   0.03079   0.02372   0.0181   0.0490   1.0000
  -3.000  -0.4457   0.01104   0.00488   0.0179   1.0000   0.5522
  -2.500  -0.3936   0.01082   0.00496   0.0182   0.9978   0.6222
  -2.000  -0.3096   0.01064   0.00506   0.0125   0.9835   0.6990
  -1.500  -0.2251   0.01047   0.00515   0.0072   0.9678   0.7659
  -1.000  -0.1490   0.01033   0.00519   0.0041   0.9483   0.8227
  -0.500  -0.0721   0.01028   0.00526   0.0014   0.9285   0.8672
  -0.000   0.0000   0.01024   0.00525  -0.0000   0.9027   0.9027
   0.500   0.0721   0.01028   0.00526  -0.0014   0.8672   0.9285
   1.000   0.1489   0.01033   0.00519  -0.0041   0.8227   0.9483
   1.500   0.2251   0.01047   0.00515  -0.0072   0.7659   0.9678
   2.000   0.3096   0.01064   0.00506  -0.0125   0.6991   0.9836
   2.500   0.3936   0.01081   0.00496  -0.0182   0.6221   0.9979
   3.000   0.4455   0.01103   0.00488  -0.0179   0.5523   1.0000
   3.500   0.4909   0.01132   0.00491  -0.0162   0.4842   1.0000
   4.000   0.5355   0.01173   0.00506  -0.0144   0.4145   1.0000
   4.500   0.5780   0.01233   0.00536  -0.0122   0.3438   1.0000
   5.000   0.6197   0.01303   0.00579  -0.0099   0.2723   1.0000
   5.500   0.6594   0.01398   0.00641  -0.0073   0.2052   1.0000
   6.000   0.6981   0.01509   0.00728  -0.0044   0.1526   1.0000
   6.500   0.7345   0.01657   0.00855  -0.0012   0.1178   1.0000
   7.000   0.7715   0.01809   0.01001   0.0020   0.0954   1.0000
   7.500   0.8123   0.01921   0.01127   0.0048   0.0835   1.0000
   8.000   0.8487   0.02137   0.01343   0.0078   0.0720   1.0000
   8.500   0.8895   0.02287   0.01510   0.0103   0.0646   1.0000
   9.000   0.9267   0.02559   0.01789   0.0128   0.0580   1.0000
   9.500   0.9636   0.02835   0.02100   0.0153   0.0534   1.0000
  10.000   0.9991   0.03068   0.02360   0.0179   0.0492   1.0000
